DEP;REG
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
01;82
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
02;22
