CABBI;siret
7300083502;49064467100029
7350578294;55207449400097
7350578308;19040004400011
7350578249;49064467100029
7350591606;21530250600013
7350322588;26550006600013
7350322592;21550466300018
7350322645;20005226400187
7350322665;13001550600012
7303461749;26550006600013
7300471695;21540578800013
7300471703;21540509300026
7350268613;22550001600194
7303461854;19550002000019
7300087819;26050012900085
7350268506;21550514000016
7350268514;79399590300010
7350268571;26550004100016
7350268570;26550004100016
7350268485;66204311601834
7350095626;17020431700227
7350095627;18007003902462
7350095665;17020431700227
7350095667;26020871500011
7350095670;17020431700227
7350095671;17020431700227
7350095721;20003070800123
7350095722;20003070800123
7350095786;44780602700028
7350095928;26020871500011
7350095929;26020871500011
7350095954;28020001500145
7301102870;30644682400147
7301103101;26020871500011
7301103143;26020871500011
7301103142;17020001800019
7350096110;26020862400015
7301252567;13002034000084
7350096007;33718016000018
7301103102;26020871500011
7350095702;17020001800019
7350096063;17020431700227
7350096064;17020431700227
7350096096;19021598800014
7301253269;26080489300014
7350259310;13000548119911
7350259361;21080164300011
7350259360;21080096700015
7350259439;26080492700010
7350259464;26080007300017
7350259255;26080533800076
7350259146;17080431400285
7350259271;26080492700168
7350239356;20001113800076
7301255401;42882285200722
7301255748;26080490100015
7350372856;20004163000019
7350372886;33718016000018
7350372739;80366676700014
7350372894;40125156601285
7350372749;21080096700015
7350372751;80168669200030
7350372750;80168669200030
7300102748;19081008500026
7350239355;20001113800076
7350259678;13000548120281
7301255820;21080096700015
7301255422;38839218500053
7301101438;40125156600352
7350373051;26080490100015
7301255331;19080894900019
7350372941;42882285200722
7350373188;17080431400236
7301101474;25020344500029
7301101475;26020862400015
7350372964;24080086200023
7350373113;81969585900010
7350373241;40125156601533
7301101201;48845616100022
7350373024;26080489300014
7300103915;13000548122295
7307778695;80459600500020
7301101844;26020862400015
7350080347;26020862400015
7350080476;26020862400015
7350080587;22020002600015
7350080243;80383788900010
7350080375;45252336800036
7350080383;21600531400010
7350080494;26020862400015
7350080500;26020862400015
7350080270;19020088100018
7301101328;26020871500011
7350239554;21160270100032
7350229200;21160421000024
7350229227;26160032400048
7350160846;17020431700227
7350160320;22020002600171
7350160313;43386435200011
7350160296;21020223000038
7350160272;22020002600015
7350160815;17020431700227
7350160633;17020431700052
7350160704;26020871500011
7350160604;17020431700227
7350160603;17020431700227
7350160524;26020871500011
7350160847;17020431700227
7350548964;19040027500011
7350145817;21250157100013
7350373948;26100002000014
7350548997;21040070100061
7350548996;20006743700109
7350145716;21250609100017
7350145757;21250609100017
7350319256;26100013700016
7350086416;26900010500230
7350091143;19250030400022
7300359725;13000548115588
7350091117;26250672800019
7307419952;17700431400155
7350319269;17100431000313
7350319268;17100431000313
7300417122;26500109900018
7300119999;21100032800016
7350086378;20006564700014
7300105849;13002034000084
7300105807;80104779600017
7300417011;21500185000019
7350159962;26020871500011
7350160222;32345727500010
7350159958;26020028200036
7350159957;26020871500011
7350160027;22020002600015
7350159777;13002031600118
7350159869;26080005700010
7350160004;21020028300013
7350104488;39275210100015
7350104496;21500289000014
7350106643;13000548105068
7350106622;21500219700048
7350104281;26500107300013
7350104555;21500289000014
7350104571;22500502400081
7350115952;94652007900017
7350115858;22500502400081
7350115893;20005822000019
7303289483;17500431600279
7303289474;39275210100015
7303289578;21500181900014
7303289516;26500104000020
7303272545;25500306300047
7350116142;17500431600055
7350116130;17500001700012
7304261215;26670031900012
7350019700;24670048800017
7350019747;47918275001988
7350019522;24670048800017
7300126848;26100013700032
7304261554;44536958000037
7304261284;24670048800017
7304261281;21670266200018
7300126870;26100002000170
7300515497;26590684200017
7350591704;80335743300017
7350591870;26590684200017
7300106728;19080949100029
7300106675;20003023700016
7300512923;34973680100011
7350557648;24590116000011
7350557560;26590690900048
7300513157;49374011200021
7300108152;21080331800034
7300108220;17080431400384
7350325100;21080331800018
7350325102;19081009300012
7350222815;26080490100015
7300108241;26080484400025
7350019339;26670031900012
7350019644;50918070900016
7350019124;13000545700010
7350019119;24670048800017
7350019110;21670197900017
7350019019;13000545700010
7350019608;24670048800017
7350019597;26670057400426
7350363379;49065697200067
7350363336;21100336300010
7350363335;21100330600019
7350363338;21100330600019
7301267022;21080260900011
7301267172;21080260900011
7350405201;17080431400285
7350405329;21080260900045
7301267074;38116629700022
7300535323;19271122400019
7350161034;39198688200010
7350161007;17610431300216
7301267070;21080231000016
7300535278;20006945800012
7300416644;19501218200018
7300109955;82436343600588
7350257039;13000548119911
7306251296;17570431100059
7350382351;21570160800014
7350382292;32343821800022
7304103456;19631580800010
7306250470;19570315200023
7350382347;21570160800105
7304103213;21630103600010
7304103360;75166106700015
7306250881;26570239900014
7306250971;21570160800014
7306251274;21570428900010
7306250844;38056408800025
7306250679;19572358000013
7306250833;17570431100059
7306250908;21570160800014
7300106888;24080084700016
7350394942;13000548119432
7306250385;24570116400015
7306250386;24570116400015
7306250312;52864715900029
7306250404;21570160800014
7306250398;21570097200056
7306250661;50012763400029
7350324055;17080431400285
7350324062;17080431400384
7350394781;40316114400049
7350097233;40793468600038
7350096775;39980567000029
7350096885;80960494500018
7350097135;13002277500030
7350096919;19630039600013
7350097039;24630070100116
7350097186;47891126600078
7350097070;37772268100030
7350097224;13002277500113
7350096537;26630746100308
7350096754;37867851000033
7350096309;26630786700017
7350096388;21630446900028
7350318294;26160018300014
7350567829;21450109000010
7303123113;08698007500021
7350567789;26450009100246
7350567889;26450009100246
7350405392;17100431000107
7300171224;21160374100011
7300171071;26160032400220
7300171133;32339929500050
7350405474;26100002000014
7350557087;21410138800012
7350405393;17100431000107
7300378157;21420209500011
7350258833;26420027000017
7300378225;40125156600295
7300372635;26410024900012
7350258767;17420431300459
7350258916;26420027000017
7300378192;26420005600010
7350629973;26180007200124
7350630042;55208131729322
7302989430;81936738400016
7302990411;32193337600014
7350629672;21180213700011
7350629705;26180007200124
7350629704;26180007200124
7350629832;21180160000019
7350629941;26180007200124
7350629843;21180248300019
7350629739;21180033900882
7350629737;17210120600495
7300187825;19180008500018
7300187964;21180033900882
7300187846;35307167300019
7300187991;21180033900882
7300187993;20003258900083
7350447831;17410431500042
7350568077;80841659800023
7350568087;26450001800017
7350568123;19450038500027
7300119647;19520814500019
7350568012;66204311603020
7350056875;24430030700018
7350056874;13000548121073
7350056666;32193337600014
7350056597;17430431100189
7350056596;32193337600014
7350056531;17420431300491
7350056505;21430268900010
7350056428;17430431100189
7350056052;26420006400014
7350056044;55204944707720
7350057011;49531542600066
